1,AARTIPHARM,INE0LRU01027,866.5,20
2,DEEPAKNTR,INE288B01029,1944.7,20
3,TVSSCS,INE395N01027,136.77,20
4,NFL,INE870D01012,100.96,20
5,MARUTI,INE585B01010,12767,9
6,HYUNDAI,INE0V6F01027,2125.9,20
7,SWANENERGY,INE665A01038,444.6,22.34
8,RAJESHEXPO,INE343B01030,196.98,20
9,BLUESTARCO,INE472A01039,1645.5,20
10,SGBJAN29IX,IN0020200377,9861.13,10
11,BECTORFOOD,INE495P01012,1353.5,20
12,INDIAGLYCO,INE560A01015,2012.5,20
13,PGEL,INE457L01029,762.7,23.47
14,PREMIERENE,INE0BS701011,1019,20
15,SGBSEP27,IN0020190115,9999,10
16,SGBNOV25VI,IN0020170083,9860,10
17,RECLTD,INE020B01018,398.5,20
18,SGBAUG27,IN0020190107,9799,10
19,SGBMAY26,IN0020180033,9843.28,10
20,FLUOROCHEM,INE09N301011,3469.4,20
21,GOLDCASE,INF0R8F01042,15.38,20
22,PAGEIND,INE761H01022,48285,20
23,EICHERMOT,INE066A01021,5576,10.12
24,NMDC,INE584A01023,69.02,20
25,KIRLOSENG,INE146L01010,853.7,20
26,DHANI,INE274G01010,69.53,26.96
27,MOIL,INE490G01020,372.8,20
28,ANANTRAJ,INE242C01024,566.25,24.37
29,ETERNAL,INE758T01015,258.86,17.07
30,LMW,INE269B01029,16175,20
31,TIINDIA,INE974X01010,2856.2,20
32,CHAMBLFERT,INE085A01013,560.3,20
33,KIRLPNU,INE811A01020,1430.8,20.29
34,SGBNOV25,IN0020170091,9899,10
35,HSCL,INE019C01026,452.65,20
36,RCF,INE027A01015,158.05,20
37,NCC,INE868B01028,227.4,20
38,IREDA,INE202E01016,171.6,20.19
39,VENUSPIPES,INE0JA001018,1386.5,20
40,TITAN,INE280A01028,3652.2,9
41,BASF,INE373A01013,5004.5,20
42,NIFTYIETF,INF109K012R6,281.84,6
43,HDFCBANK,INE040A01034,1980.2,9
44,HINDALCO,INE038A01020,672.65,12.35
45,TRANSRAILL,INE454P01035,630.7,20
46,LIQUIDBEES,INF732E01037,1000,5
47,POWERINDIA,INE07Y701011,19636,22.12
48,TATACONSUM,INE192A01025,1126.5,9.47
49,SENORES,INE0RB801010,571.9,20
50,SGBMAR30X,IN0020210319,10020,10
51,TANLA,INE483C01032,653.55,20
52,CASHIETF,INF109K1A021,1016.34,5
53,TORNTPHARM,INE685A01028,3226.7,20
54,INOXGREEN,INE510W01014,154.57,100
55,YESBANK,INE528G01035,20.23,20
56,COLPAL,INE259A01022,2419.8,20
57,IGIL,INE0Q9301021,358.35,20
58,SGBJUN30,IN0020220045,10048,10
59,SHRIRAMPPS,INE217L01019,103.6,20.93
60,SGBOCT25IV,IN0020170067,9811.01,10
61,DMART,INE192R01011,4276.4,20
62,SANOFI,INE058A01010,6078.5,20
63,SULA,INE142Q01026,304.55,20
64,ABSLLIQUID,INF209KB18T9,999.99,5
65,INDUSTOWER,INE121J01017,415.5,20
66,UCOBANK,INE691A01018,30.14,20
67,DOMS,INE321T01012,2503.2,20
68,AADHARHFC,INE883F01010,441.5,20
69,JUNIORBEES,INF732E01045,725.03,7.2
70,KFINTECH,INE138Y01010,1336.7,21.81
71,FORTIS,INE061F01013,779.8,20
72,BERGEPAINT,INE463A01038,568.3,20
73,OIL,INE274J01014,441.1,20
74,SCHNEIDER,INE839M01018,797.1,100
75,ITC,INE154A01025,416.35,9
76,EMAMILTD,INE548C01032,572.2,20
77,EBBETF0431,INF754K01LE1,1362.89,20
78,DRREDDY,INE089A01031,1341.6,9
79,3MINDIA,INE470A01017,28500,20
80,GUJGASLTD,INE844O01030,456.95,20
81,IXIGO,INE0HV901016,176.21,20
82,CONSUMBEES,INF204KA1LD7,129.97,20
83,LTF,INE498L01015,201.51,20
84,VTL,INE825A01020,488,20
85,ICICIB22,INF109KB15Y7,109.27,20
86,JYOTHYLAB,INE668F01031,337.1,20
87,INDIANB,INE562A01011,620.7,20
88,MANKIND,INE634S01028,2308.8,20
89,SARDAEN,INE385C01021,438.85,20
90,GMDCLTD,INE131A01031,403.5,20
91,SGLTL,INE0M4D01010,174.15,100
92,ASTRAL,INE006I01046,1505.4,20
93,SONACOMS,INE073K01018,480.8,20
94,HAVELLS,INE176B01034,1569.3,20
95,INTELLECT,INE306R01017,1116.4,20
96,WAAREEENER,INE377N01017,2942.1,20
97,SAFARI,INE429E01023,2149.3,20
98,PFIZER,INE182A01018,5572.5,20
99,MCX,INE745G01035,8662,20
100,GROWWGOLD,INF666M01IW1,96.06,20
101,ARVIND,INE034A01011,354.65,20
102,NORTHARC,INE850M01015,243.1,20
103,DCBBANK,INE503A01015,143.22,20
104,RRKABEL,INE777K01022,1348.7,20
105,JSWINFRA,INE880J01026,311.9,20
106,BIOCON,INE376G01013,351.4,20
107,DCXINDIA,INE0KL801015,288,21.39
108,PIIND,INE603J01030,4168,20
109,INDUSINDBK,INE095A01012,829.8,18.55
110,TATAPOWER,INE245A01021,403.05,20
111,BRITANNIA,INE216A01030,5708,20
112,MSTCLTD,INE255X01014,519.45,20.28
113,SGBNOV258,IN0020170109,9890,10
114,SGBOCT27VI,IN0020190388,9800,10
115,BPCL,INE029A01011,319.6,20
116,SGBDE30III,IN0020220110,10191.77,10
117,ABB,INE117A01022,5966.5,20
118,APTUS,INE852O01025,322.6,20
119,GOLDBEES,INF204KB17I5,81.11,20
120,AFCONS,INE101I01011,437.85,20
121,CEATLTD,INE482A01020,3646.8,20
122,NSLNISP,INE0NNS01018,39.47,20
123,SGBOCT25V,IN0020170075,9820,10
124,MRF,INE883A01011,139255,20
125,SGBJUN28,IN0020200104,9767.84,10
126,SYNGENE,INE398R01022,651.4,20
127,INOXINDIA,INE616N01034,1198.6,20
128,ACC,INE012A01025,1854.2,20
129,GOLDSHARE,INF789F1AUX7,82.1,20
130,GRINDWELL,INE536A01023,1709.9,20
131,SHREECEM,INE070A01015,29075,20
132,ITIETF,INF109KC16I6,42.35,20
133,PHARMABEES,INF204KC1089,22.21,20
134,CLEAN,INE227W01023,1502.7,20
135,GRSE,INE382Z01011,3003.1,27.74
136,HCLTECH,INE860A01027,1717.1,10.39
137,JUBLPHARMA,INE700A01033,1183.9,20
138,TIMKEN,INE325A01013,3388.6,20
139,SGBMAR28X,IN0020190552,9839.99,10
140,SGBSEP31II,IN0020230093,10321.98,10
141,IIFL,INE530B01024,481.85,20
142,SBFC,INE423Y01016,106.59,20
143,ARE&M,INE885A01032,969.6,20
144,NIITLTD,INE161A01038,131.56,23.3
145,ADANIENSOL,INE931S01010,850.2,22.16
146,KAYNES,INE918Z01012,5850,20.7
147,STARCEMENT,INE460H01021,213.5,20
148,SPARC,INE232I01014,159.07,21.65
149,SGBJUL25,IN0020170034,9780.5,10
150,SANOFICONR,INE0UOS01011,5155.5,20
151,EXIDEIND,INE302A01020,385.8,20
152,AONELIQUID,INF1J2R01056,1013.88,5
153,ABREL,INE055A01016,2358.5,20
154,THERMAX,INE152A01029,3444.5,20
155,WAAREERTL,INE299N01021,1000.9,25.46
156,NEXT50IETF,INF109KC1NS5,70.81,7.13
157,GOKEX,INE887G01027,884.3,20
158,GILLETTE,INE322A01010,10482,20
159,MOTILALOFS,INE338I01027,869,21.16
160,SGBOCT27,IN0020190370,9801,10
161,JSWSTEEL,INE019A01038,1024.45,10.73
162,TDPOWERSYS,INE419M01027,520.25,20
163,BAJAJHLDNG,INE118A01012,13721,20
164,TTML,INE517B01013,66.8,100
165,IDEAFORGE,INE349Y01013,601.4,21.76
166,IOLCP,INE485C01029,97.14,20
167,M&MFIN,INE774D01024,266.4,20
168,MOM30IETF,INF109KC17C7,32.27,7.93
169,KNRCON,INE634I01029,230.68,20
170,EIEL,INE0LLY01014,247.21,20
171,IFCI,INE039A01010,63.68,26.33
172,MOBIKWIK,INE0HLU01028,245.55,20
173,RAIN,INE855B01025,147.75,20
174,IRFC,INE053F01010,139.57,20
175,WIPRO,INE075A01022,269.41,10.99
176,TATATECH,INE142M01025,699.9,20
177,ATUL,INE100A01010,7357,20
178,NEWGEN,INE619B01017,1151.6,23.71
179,NIACL,INE470Y01017,190.25,20
180,INTERARCH,INE00M901018,2121.7,100
181,DIVISLAB,INE361B01024,6586.5,20
182,MTNL,INE153A01019,53.11,26.61
183,ASTERDM,INE914M01019,591.65,20
184,JTLIND,INE391J01032,74.13,21.13
185,SHARDACROP,INE221J01015,812.25,21.34
186,KPIGREEN,INE542W01025,498.55,21.86
187,SGBAPR28I,IN0020200062,9899,10
188,SWSOLAR,INE00M201021,317.1,21.17
189,ABSLAMC,INE404A01024,778.35,20
190,AARTIDRUGS,INE767A01016,451.8,20
191,BANKBEES,INF204KB15I9,581.12,20
192,SGBAUG29V,IN0020210129,9892.43,10
193,ABDL,INE552Z01027,432.45,20
194,TRENT,INE849A01020,6124.5,16.29
195,EBBETF0430,INF754K01KO2,1518.42,20
196,MFSL,INE180A01020,1627.8,20
197,FINCABLES,INE235A01022,939.2,20
198,PVRINOX,INE191H01014,966.55,20
199,TATACHEM,INE092A01019,939.95,20
200,KAJARIACER,INE217B01036,1105.7,20
201,SILVERBEES,INF204KC1402,101.88,20
202,APLLTD,INE901L01018,971.9,20
203,CAPLIPOINT,INE475E01026,2107.9,20
204,SGBNV29VII,IN0020210178,9949,10
205,POLYCAB,INE455K01017,6441,20
206,BSOFT,INE836A01035,443.65,20
207,AJANTPHARM,INE031B01049,2585.2,20
208,PVTBANIETF,INF109KC18U7,28.12,20
209,ACI,INE128X01021,635.35,20
210,HONAUT,INE671A01010,38760,20
211,SIEMENS,INE003A01024,3149.1,20
212,HAL,INE066F01020,4792.7,20
213,HINDCOPPER,INE531E01026,259.22,20
214,TRIDENT,INE064C01022,30.59,20
215,SGBJUN29II,IN0020210061,9774.86,10
216,AUBANK,INE949L01017,807.05,20
217,MOREPENLAB,INE083A01026,62.89,21.81
218,MAZDOCK,INE249Z01020,3192.7,24.03
219,UPL,INE628A01036,650.7,20
220,SGBJUL27,IN0020190081,9790,10
221,MARKSANS,INE750C01026,247,21.06
222,SAREGAMA,INE979A01025,502.25,20
223,HCC,INE549A01026,31.28,100
224,POLICYBZR,INE417T01026,1839.8,20
225,CENTURYPLY,INE348B01021,737.2,20
226,HDFCLIFE,INE795G01014,785.1,9.3
227,ECLERX,INE738I01010,3509.9,20
228,HIKAL,INE475B01022,366.45,20
229,APARINDS,INE372A01015,8083,20.55
230,TRITURBINE,INE152M01016,611.95,21.13
231,SOUTHBANK,INE683A01023,30.57,20
232,ALPHA,INF174KA1IA5,51.07,9.08
233,HOMEFIRST,INE481N01025,1378.9,20
234,ALOKINDS,INE270A01029,19.55,20.1
235,LTFOODS,INE818H01020,448.9,20
236,PEL,INE140A01024,1127,20
237,GMMPFAUDLR,INE541A01023,1187.9,20
238,NAUKRI,INE663F01032,1509.6,20
239,ATHERENERG,INE0LEZ01016,340.9,20
240,SUMICHEM,INE258G01013,511.55,20
241,APLAPOLLO,INE702C01027,1795.9,20
242,GOODLUCK,INE127I01024,1101.25,20.89
243,KTKBANK,INE614B01018,207.4,20
244,ORIENTCEM,INE876N01018,227.5,20
245,RAYMOND,INE301A01014,600.45,22.19
246,POLYPLEX,INE633B01018,1244.5,20
247,BOMDYEING,INE032A01023,155.27,20
248,GIPCL,INE162A01010,209.65,20
249,SGBJUL28IV,IN0020200146,9770.4,10
250,TRIVENI,INE256C01024,392.85,20
251,PSPPROJECT,INE488V01015,752.2,20
252,SGBOCT25,IN0020170059,10000,10
253,MASTEK,INE759A01021,2506.9,20
254,CARTRADE,INE290S01011,1629.4,20.83
255,LODHA,INE670K01029,1456.6,20
256,RADICO,INE944F01028,2690.2,20
257,PERSISTENT,INE262H01021,6108.5,20
258,RTNINDIA,INE834M01019,59.57,22.45
259,SGBD29VIII,IN0020210228,9889,10
260,GODIGIT,INE03JT01014,355.2,20
261,SMALLCAP,INF769K01LC3,47.92,8.18
262,NATCOPHARM,INE987B01026,878.8,20
263,BANDHANBNK,INE545U01014,181.99,20
264,SGBAUG28V,IN0020200161,9782.01,10
265,JSFB,INE953L01027,509.65,20
266,MGL,INE002S01010,1445.5,20
267,MAHABANK,INE457A01014,54.3,20
268,GODREJIND,INE233A01035,1247.2,20
269,FEDERALBNK,INE171A01029,210.4,20
270,LLOYDSENGG,INE093R01011,59.23,23.78
271,BHARTIHEXA,INE343G01021,1869.2,20
272,HDFCSILVER,INF179KC1DI2,102.06,20
273,ALKYLAMINE,INE150B01039,2336.2,20
274,PETRONET,INE347G01014,296.4,20
275,ESCORTS,INE042A01014,3304.6,20
276,FCL,INE045J01026,277.74,20
277,SETFNIF50,INF200KA1FS1,267.68,6
278,SGBN28VIII,IN0020200286,9856.5,10
279,LIQUIDBETF,INF0QA701854,1036.24,5
280,NOCIL,INE163A01018,189.54,20
281,CGPOWER,INE067A01029,676.6,20
282,PRAKASH,INE603A01013,162.99,20
283,CHOLAFIN,INE121A01024,1608.8,20
284,M&M,INE101A01026,3215.5,12.01
285,UNOMINDA,INE405E01023,1072.7,20
286,JWL,INE209L01016,382.1,22.74
287,SHRIRAMFIN,INE721A01047,675.1,14.75
288,AWL,INE699H01024,259.5,20
289,MMTC,INE123F01029,71.31,23.52
290,HBLENGINE,INE292B01021,590.1,21.57
291,ELGIEQUIP,INE285A01027,533.35,20
292,SWIGGY,INE00H001014,399.95,20
293,MID150BEES,INF204KB1V68,222.67,6.98
294,JCHAC,INE782A01015,1773.2,20
295,PGHH,INE179A01014,13503,20
296,SANSERA,INE953O01021,1363.4,20
297,TVSMOTOR,INE494B01023,2916.8,20
298,PNCINFRA,INE195J01029,302.9,20
299,SDBL,INE480C01038,170.15,20
300,GAEL,INE036B01030,114.59,20
301,ITCHOTELS,INE379A01028,220.21,20
302,SRF,INE647A01010,3080.5,20
303,CHALET,INE427F01016,918.7,20
304,BANKINDIA,INE084A01016,116.15,20
305,ZYDUSLIFE,INE010B01027,974.75,20
306,GABRIEL,INE524A01029,637.3,20
307,CANBK,INE476A01022,110.71,20
308,KARURVYSYA,INE036D01028,248.07,20
309,ADANIENT,INE423A01024,2527.2,18.94
310,GODFRYPHLP,INE260B01028,8280,25.22
311,SOBHA,INE671H01015,1525.2,20
312,PGHL,INE199A01012,5903.5,20
313,PAYTM,INE982J01020,894.7,21.82
314,CDSL,INE736A01011,1744.3,20
315,MUTHOOTFIN,INE414G01012,2574,20
316,MAHLIFE,INE813A01018,367.6,20
317,JKTYRE,INE573A01042,356.5,20
318,UBL,INE686F01025,1937.4,20
319,TIPSMUSIC,INE716B01029,677,20
320,AAVAS,INE216P01012,1881.2,20
321,ENGINERSIN,INE510A01028,235.66,20
322,AFFLE,INE00WC01027,1937.8,20
323,VAIBHAVGBL,INE884A01027,240.3,20
324,WSTCSTPAPR,INE976A01021,510.25,20
325,COFORGE,INE591G01025,1880,20
326,KPRMILL,INE930H01031,1127.6,20
327,LIQUIDSHRI,INF680P01422,1058.75,5
328,CYIENTDLM,INE055S01018,473.7,20
329,TFCILTD,INE305A01015,229.67,20.81
330,ONGC,INE213A01029,241.91,12.62
331,HEXT,INE093A01041,846.35,20
332,GODREJCP,INE102D01028,1185.3,20
333,ANGELONE,INE732I01013,2861.3,21.04
334,ZFCVINDIA,INE342J01019,13284,20
335,HEROMOTOCO,INE158A01026,4300.8,10.17
336,IONEXCHANG,INE570A01022,532.75,20
337,GODREJPROP,INE484J01027,2403.3,20
338,RBA,INE07T201019,82.31,20
339,IGL,INE203G01027,209.14,20
340,GICRE,INE481Y01014,384.7,20
341,APOLLOHOSP,INE437A01024,7042,9
342,KEC,INE389H01022,927.7,20
343,SAIL,INE114A01011,128.26,20
344,LICHSGFIN,INE115A01026,610.05,20
345,INDIGO,INE646L01027,5639,20
346,TATASTEEL,INE081A01020,156.39,11.89
347,SGBMAY29I,IN0020210053,9826.62,10
348,IDBI,INE008A01015,94.54,20
349,SGBJAN26,IN0020170166,9949.5,10
350,ZENSARTECH,INE520A01027,852.45,20
351,AXISGOLD,INF846K01W80,81.48,20
352,FIEMIND,INE737H01014,1874.1,20
353,MEDPLUS,INE804L01022,883.8,20
354,YATHARTH,INE0JO301016,525.85,20
355,NUVOCO,INE118D01016,348.65,20
356,CUB,INE491A01021,199.02,20
357,FIVESTAR,INE128S01021,753,20
358,RVNL,INE415G01027,399.4,22.98
359,BAJAJFINSV,INE918I01026,2011.8,10.24
360,NEULANDLAB,INE794A01010,12021,22.86
361,BEML,INE258A01016,4447.5,22.25
362,GPPL,INE517F01014,162.04,20
363,SUNDARMFIN,INE660A01013,4928.5,20
364,RBLBANK,INE976G01028,235.72,20
365,OLECTRA,INE260D01016,1188.5,20
366,MINDACORP,INE842C01021,511.65,20
367,VINATIORGA,INE410B01037,1973.4,20
368,RELIANCE,INE002A01018,1467.3,9
369,ANURAS,INE930P01018,1133.8,20
370,AHLUCONT,INE758C01029,949.7,20
371,SIGNATURE,INE903U01023,1251.9,20
372,DEEPAKFERT,INE501A01019,1606.8,20
373,HAPPSTMNDS,INE419U01012,650.5,20
374,SFL,INE916U01025,758.95,20
375,WELSPUNLIV,INE192B01031,139.82,20
376,KOTAKBANK,INE237A01028,2198.3,9.19
377,INFY,INE009A01021,1614.9,10.09
378,LIQUID,INF769K01KS1,999.99,5
379,HDFCLIQUID,INF179KC1JG3,1016.67,5
380,SHAREINDIA,INE932X01026,184.22,20
381,LATENTVIEW,INE0I7C01011,412.65,20
382,VARROC,INE665L01035,572.9,20
383,KANSAINER,INE531A01024,243.75,20
384,SBIN,INE062A01020,800.05,9.75
385,DELTACORP,INE124G01033,89.98,20
386,LINDEINDIA,INE473A01011,6604.5,20
387,PRESTIGE,INE811K01011,1748.6,20
388,GRASIM,INE047A01021,2831.8,9.28
389,NHPC,INE848E01016,84.97,20
390,SHILPAMED,INE790G01031,856.9,100
391,TECHM,INE669C01036,1705,10.58
392,SGBDEC2513,IN0020170158,10000,10
393,REDINGTON,INE891D01026,306.95,20
394,ALKEM,INE540L01014,4854,20
395,NTPC,INE733E01010,330.85,10.88
396,JIOFIN,INE758E01017,303.3,13.45
397,PIDILITIND,INE318A01026,3005.9,20
398,HERITGFOOD,INE978A01027,488.8,20
399,RENUKA,INE087H01022,33.13,20
400,GANECOS,INE845D01014,1471.1,20
401,LICI,INE0J1Y01017,951.1,20
402,PPLPHARMA,INE0DK501011,201.95,20
403,JINDALSAW,INE324A01032,240.91,20.67
404,JBCHEPHARM,INE572A01036,1797.1,20
405,UNITDSPR,INE854D01024,1454.9,20
406,SGBNOV26,IN0020180314,9711.02,10
407,SGBSEP28VI,IN0020200195,9785.36,10
408,SGBDEC25,IN0020170125,10100,10
409,JAMNAAUTO,INE039C01032,94.32,20
410,BAJAJHFL,INE377Y01014,121.73,20
411,CMSINFO,INE925R01014,490.4,20
412,ARVINDFASN,INE955V01021,498.5,20
413,SBICARD,INE018E01016,969.8,20
414,LOWVOLIETF,INF109KC19U5,21.81,6
415,PHOENIXLTD,INE211B01039,1619.3,20
416,AUROPHARMA,INE406A01037,1120.2,20
417,CERA,INE739E01017,6775.5,20
418,BBETF0432,INF754K01OB1,1280,20
419,VPRPL,INE0AE001013,163.86,20.35
420,GATEWAY,INE079J01017,65.99,20
421,TBOTEK,INE673O01025,1301.2,20
