MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        19.55,        19.55,        19.65,        19.55,        19.65,                    78400.00,4000, ,        33.50,        14.50
N,SM,ABCOTS,A B COTSPIN INDIA LIMITED,       434.00,       447.00,       447.00,       420.95,       423.70,                  2022787.50,4750, ,       516.00,       209.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       231.70,       233.45,       233.90,       229.90,       230.00,                  3240725.00,14000, ,       315.00,       180.00
N,SM,ACCORD,ACCORD SYNERGY LIMITED,        23.20,        22.10,        22.10,        22.05,        22.10,                   132500.00,6000, ,        37.00,        17.50
N,SM,ACCPL,ACCRETION PHARMA LIMITED,        70.90,        70.80,        71.05,        69.10,        69.35,                  1682700.00,24000, ,        82.95,        62.55
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       170.00,       170.00,       170.00,       170.00,       170.00,                   204000.00,1200, ,       181.40,       147.05
N,SM,AERON,AERON COMPOSITE LIMITED,       134.25,       135.00,       139.25,       132.20,       132.40,                  6072200.00,45000, ,       202.20,       112.70
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        48.70,        47.50,        47.50,        47.50,        47.50,                    71250.00,1500, ,       103.95,        42.05
N,SM,AGUL,A G UNIVERSAL LIMITED,        50.40,        47.90,        48.90,        47.90,        48.90,                   193600.00,4000, ,        71.10,        37.30
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       664.25,       666.00,       673.00,       630.25,       640.55,                 29005360.00,44800, ,       729.95,       358.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       387.15,       385.00,       385.00,       375.25,       379.00,                  6231740.00,16400, ,       633.00,       246.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1057.95,      1062.00,      1099.50,      1054.00,      1079.05,                206242140.00,191600, ,      1150.00,       495.00
N,SM,AMBEY,AMBEY LABORATORIES LTD,        39.30,        38.00,        39.40,        38.00,        39.40,                   390400.00,10000, ,        97.20,        31.85
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       111.35,       111.15,       111.15,       111.15,       111.15,                   222300.00,2000, ,       143.85,        93.00
N,SM,AMIABLE,AMIABLE LOGISTICS (I) LTD,        75.00,        70.10,        72.90,        70.10,        72.90,                   228800.00,3200, ,       110.00,        63.60
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       396.95,       399.00,       428.80,       399.00,       416.10,                  7300060.00,17600, ,       607.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       273.40,       276.85,       281.50,       272.00,       280.80,                 84415362.50,306250, ,       494.90,       244.95
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        26.75,        27.35,        27.40,        26.65,        27.10,                  2167250.00,80000, ,        29.05,        16.20
N,SM,APEXECO,APEX ECOTECH LIMITED,       123.95,       122.00,       123.95,       118.65,       118.65,                  1951680.00,16000, ,       169.00,        73.00
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        84.00,        85.00,        85.80,        85.00,        85.80,                   681600.00,8000, ,       115.00,        63.00
N,SM,ARHAM,ARHAM TECHNOLOGIES LTD,        90.20,        88.45,        89.35,        88.45,        89.15,                   798300.00,9000, ,       183.00,        78.20
N,SM,ARUNAYA,ARUNAYA ORGANICS LIMITED,        30.95,        30.55,        31.15,        30.20,        30.30,                  2624700.00,86000, ,        46.50,        29.05
N,SM,ASHALOG,ASHAPURA LOGISTICS LTD,        68.30,        69.65,        69.75,        68.75,        68.85,                   346650.00,5000, ,       194.25,        60.00
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        78.35,        78.30,        78.60,        75.05,        75.50,                 21978900.00,286800, ,       115.35,        75.05
N,SM,ATMASTCO,ATMASTCO LIMITED,       188.80,       188.15,       190.00,       180.00,       186.00,                  9674720.00,52400, ,       393.90,       162.20
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,       148.75,       149.00,       151.50,       146.25,       148.05,                   654125.00,4375, ,       432.75,       140.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        45.20,        44.80,        46.75,        44.70,        46.50,                   580720.00,12800, ,        94.40,        44.50
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        31.10,        30.50,        31.65,        30.50,        31.65,                   309300.00,10000, ,        72.00,        23.65
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       107.10,       107.00,       108.00,       105.35,       105.85,                   747100.00,7000, ,       114.25,        64.60
N,SM,AVPINFRA,AVP INFRACON LIMITED,       188.85,       188.25,       191.50,       186.60,       187.55,                  8739560.00,46400, ,       264.30,       113.45
N,SM,BABAFP,BABA FOOD PROCESSING,        39.00,        38.15,        39.00,        38.15,        39.00,                   123440.00,3200, ,        64.00,        35.40
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       588.30,       585.00,       602.00,       582.05,       600.45,                 12702412.50,21375, ,       649.90,       247.05
N,SM,BALCO,SOLVE PLASTIC PRODUCTS L,        28.90,        29.90,        29.90,        29.90,        29.90,                    71760.00,2400, ,       112.45,        25.00
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        53.25,        52.00,        53.50,        51.35,        52.00,                   670680.00,12800, ,       101.15,        44.00
N,SM,BEACON,BEACON TRUSTEESHIP LTD,        60.80,        62.00,        64.20,        61.50,        62.75,                  4203500.00,67000, ,       151.00,        50.00
N,SM,BETA,BETA DRUGS LIMITED,      1779.95,      1785.10,      1805.00,      1748.00,      1765.00,                  3177830.25,1785, ,      2326.00,      1178.00
N,SM,BIRDYS,GRILL SPLENDOUR SER LTD,       107.10,       107.10,       107.10,       107.10,       107.10,                   128520.00,1200, ,       119.05,        68.25
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       201.95,       209.95,       209.95,       201.00,       201.00,                  1805720.00,8800, ,       390.00,       172.10
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       167.05,       166.00,       168.95,       165.00,       166.00,                  3329300.00,20000, ,       187.20,       135.20
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        48.65,        48.50,        48.55,        48.50,        48.55,                    77640.00,1600, ,       186.85,        38.10
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        51.00,        51.55,        51.55,        51.55,        51.55,                   103100.00,2000, ,        86.60,        36.55
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        75.50,        75.50,        75.50,        75.50,        75.50,                    37750.00,500, ,       239.10,        66.50
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        29.60,        29.85,        31.50,        29.85,        30.70,                  2180400.00,72000, ,        68.70,        23.50
N,SM,CBAZAAR,NET AVENUE TECHNOLOGIES L,         5.75,         5.75,         5.75,         5.75,         5.75,                    46000.00,8000, ,        17.45,         5.50
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        18.40,        18.10,        18.95,        18.10,        18.95,                    66780.00,3600, ,        38.20,        15.60
N,SM,CGRAPHICS,CREATIVE GRAPHICS S IND L,       203.50,       204.00,       204.00,       197.00,       198.70,                 11487560.00,57600, ,       229.95,       134.40
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       197.70,       200.00,       201.00,       196.00,       196.10,                 11657560.00,59200, ,       224.60,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       128.15,       126.85,       127.55,       125.30,       127.00,                  2022750.00,16000, ,       208.85,       111.80
N,SM,CHETANA,CHETANA EDUCATION LIMITED,        86.95,        88.00,        88.50,        88.00,        88.50,                   564640.00,6400, ,       129.00,        75.40
N,SM,CLSL,CROP LIFE SCIENCE LIMITED,        50.25,        50.25,        52.75,        50.25,        52.75,                   726500.00,14000, ,        69.20,        41.50
N,SM,CMNL,CHAMAN METALLICS LIMITED,       158.95,       160.00,       163.00,       156.15,       157.10,                  4050900.00,25500, ,       178.80,        64.00
N,SM,CMRSL,CYBER MEDIA RES & SER LTD,        86.00,        82.05,        90.30,        82.05,        90.15,                   426320.00,4800, ,       205.00,        64.00
N,SM,CONTI,CONTINENTAL SEED CHEM LTD,        23.65,        24.70,        24.70,        24.50,        24.50,                   327467.25,13332, ,        70.15,        22.10
N,SM,COOLCAPS,COOL CAPS INDUSTRIES LTD,       814.90,       810.00,       819.40,       803.30,       804.00,                  8502525.00,10500, ,       931.00,       316.00
N,SM,DANISH,DANISH POWER LIMITED,      1122.95,      1130.00,      1143.00,      1104.05,      1108.45,                 45472710.00,40650, ,      1316.00,       541.50
N,SM,DCCL,DAR CREDIT & CAPITAL LTD,        55.65,        55.00,        55.90,        52.00,        55.00,                  4204100.00,78000, ,        66.00,        52.00
N,SM,DCG,DCG CABLES & WIRES LTD,        67.35,        68.20,        68.20,        66.75,        67.45,                   161940.00,2400, ,       182.50,        57.15
N,SM,DECCANTRAN,DECCAN TRANSCON LEASING L,        37.10,        36.30,        37.15,        36.30,        36.90,                   177000.00,4800, ,       117.90,        35.60
N,SM,DEEM,DEEM ROLL TECH LIMITED,        60.30,        60.60,        60.60,        60.60,        60.60,                    60600.00,1000, ,       136.45,        51.25
N,SM,DELAPLEX,DELAPLEX LIMITED,       157.75,       157.75,       157.75,       152.00,       154.25,                  1483110.00,9600, ,       333.00,       128.50
N,SM,DENEERS,DE NEERS TOOLS LIMITED,       340.00,       338.00,       338.00,       330.05,       330.45,                  2206890.00,6600, ,       374.80,       175.00
N,SM,DENTALKART,VASA DENTICITY LIMITED,       614.50,       613.00,       624.00,       613.00,       618.90,                  3401337.50,5500, ,       840.00,       525.00
N,SM,DHANLAXMI,DHANLAXMI CROP SCIENCE L,        47.85,        48.15,        48.15,        47.00,        47.00,                   190300.00,4000, ,       110.00,        45.00
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,       184.15,       176.50,       192.00,       176.50,       189.95,                  1665690.00,8800, ,       560.00,       150.00
N,SM,DKEGL,D K ENTERPRISES GLOBAL L,        67.10,        61.50,        71.50,        61.50,        69.95,                   409350.00,6000, ,       103.80,        56.50
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        38.45,        39.00,        39.00,        38.50,        38.75,                  1239800.00,32000, ,        50.45,        32.00
N,SM,DTL,DIENSTEN TECH LIMITED,       158.00,       154.05,       154.05,       150.00,       153.00,                  1460400.00,9600, ,       264.60,       105.00
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       119.50,       114.30,       114.50,       113.90,       114.50,                   274160.00,2400, ,       164.40,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        49.25,        48.35,        50.00,        48.30,        48.30,                  1950375.00,40000, ,        81.95,        40.25
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        45.20,        45.20,        45.20,        45.20,        45.20,                    90400.00,2000, ,       109.00,        33.10
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,       128.00,       128.10,       128.10,       125.00,       126.50,                  2264350.00,18000, ,       163.50,        95.00
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,       100.25,       101.85,       101.85,        99.25,        99.85,                  1400950.00,14000, ,       158.80,        99.00
N,SM,EMMIL,ENERGY MISSION MACH IND L,       193.10,       194.00,       195.00,       188.50,       194.90,                   630325.00,3250, ,       581.50,       162.10
N,SM,ENFUSE,ENFUSE SOLUTIONS LIMITED,       233.00,       225.00,       244.95,       225.00,       244.95,                   428940.00,1800, ,       282.00,       114.10
N,SM,ENVIRO,ENVIROTECH SYSTEMS LTD,       115.45,       113.30,       119.00,       112.20,       116.00,                  9032850.00,78000, ,       155.00,        89.05
N,SM,ESFL,ESSEN SPECIALITY FILMS L,       440.95,       447.00,       447.00,       436.00,       439.60,                 10036926.00,22680, ,       757.25,       135.00
N,SM,ESPRIT,ESPRIT STONES LIMITED,       115.80,       115.85,       115.85,       110.00,       110.40,                  4668960.00,41600, ,       159.45,        86.25
N,SM,ETML,EMERALD TYRE MANUF LTD,       118.40,       118.00,       118.05,       116.00,       116.00,                  3806520.00,32400, ,       198.95,        96.10
N,SM,EUROBOND,EURO PANEL PRODUCTS LTD,       175.00,       170.00,       176.75,       170.00,       176.75,                  9599100.00,56000, ,       230.00,       144.85
N,SM,FALCONTECH,FALCON TECHNOPROJ IND LTD,        29.50,        29.50,        30.50,        29.50,        30.50,                   178440.00,6000, ,        91.85,        27.60
N,SM,FONEBOX,FONEBOX RETAIL LIMITED,        82.50,        82.50,        82.50,        82.50,        82.50,                    82500.00,1000, ,       217.00,        73.05
N,SM,FORGEAUTO,FORGE AUTO INTERNATION L,        94.00,        95.95,        95.95,        95.95,        95.95,                   115140.00,1200, ,       115.00,        60.00
N,SM,FRESHARA,FRESHARA AGRO EXPORTS LTD,       181.20,       181.25,       181.25,       178.10,       178.85,                 15282780.00,85200, ,       207.00,       110.00
N,SM,GAJANAND,GAJANAND INTERNATIONAL L,        13.00,        12.85,        12.95,        12.85,        12.95,                   155100.00,12000, ,        43.00,        12.00
N,SM,GANGABATH,GANGA BATH FITTINGS LTD,        36.00,        35.00,        38.40,        35.00,        37.05,                 13383600.00,360000, ,        59.00,        33.50
N,SM,GICL,GLOBE INTL CARRIERS LTD,       118.65,       129.80,       129.80,       119.30,       119.30,                  4204800.00,34500, ,       129.80,        36.85
N,SM,GLOBALPET,GLOBAL PET INDUSTRIES LTD,       120.55,       125.00,       125.60,       125.00,       125.00,                  1500975.00,12000, ,       141.95,        89.00
N,SM,GOYALSALT,GOYAL SALT LIMITED,       156.50,       158.10,       159.75,       155.10,       155.10,                   844890.00,5400, ,       241.70,       142.00
N,SM,GPECO,GP ECO SOLUTIONS INDIA L,       389.30,       381.00,       384.90,       371.00,       377.10,                105647790.00,279600, ,       470.00,       212.20
N,SM,GRCL,GAYATRI RUBB AND CHEM LTD,       418.60,       422.80,       438.00,       397.70,       415.00,                  4618275.00,11500, ,       525.25,       308.75
N,SM,GREENCHEF,GREENCHEF APPLIANCES LTD,        61.80,        60.40,        60.40,        59.90,        59.95,                   289000.00,4800, ,        91.20,        54.55
N,SM,HIGREEN,HI GREEN CARBON LIMITED,       210.10,       210.70,       216.30,       210.60,       216.25,                  1712120.00,8000, ,       340.90,       160.00
N,SM,HOMESFY,HOMESFY REALTY LIMITED,       274.15,       286.90,       287.00,       260.45,       285.70,                  1965720.00,7200, ,       743.00,       260.45
N,SM,IBLFL,IBL FINANCE LIMITED,        60.15,        60.15,        63.10,        60.15,        63.05,                   624600.00,10000, ,        91.70,        45.45
N,SM,IDEALTECHO,IDEAL TECHNOPLAST IND LTD,       140.45,       140.95,       140.95,       140.95,       140.95,                   140950.00,1000, ,       154.95,        88.00
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        41.50,        41.50,        41.50,        40.15,        41.00,                   658400.00,16000, ,        99.75,        38.00
N,SM,INDIFRA,INDIFRA LIMITED,        22.70,        23.00,        24.50,        23.00,        23.10,                   377000.00,16000, ,        38.65,        12.65
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       290.00,       298.50,       298.50,       296.00,       296.65,                  1040400.00,3500, ,       392.50,       178.05
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       485.60,       486.00,       490.00,       480.05,       485.00,                  1937240.00,4000, ,       575.00,       223.05
N,SM,INSPIRE,INSPIRE FILMS LIMITED,        19.35,        19.35,        19.60,        19.15,        19.60,                   233300.00,12000, ,        36.95,        18.50
N,SM,INTEGRITY,INTEGRITY INFRABUILD DE L,       101.05,       101.10,       101.10,       101.10,       101.10,                   242640.00,2400, ,       107.00,       100.00
N,SM,ITALIANE,ITALIAN EDIBLES LIMITED,        35.25,        36.00,        36.95,        36.00,        36.95,                   289900.00,8000, ,        67.60,        29.95
N,SM,IWARE,IWARE SUPPLYCHAIN SER LTD,        88.75,        88.00,        89.40,        85.00,        87.35,                  5217960.00,60000, ,        97.00,        70.05
N,SM,JAYBEE,JAY BEE LAMINATIONS LTD,       233.05,       231.00,       235.50,       229.00,       233.20,                  6115275.00,26500, ,       456.00,       178.05
N,SM,JEYYAM,JEYYAM GLOBAL FOODS LTD,        40.00,        39.75,        40.65,        39.65,        40.40,                   964200.00,24000, ,        69.90,        31.00
N,SM,JFLLIFE,JFL LIFE SCIENCES LIMITED,        15.15,        15.05,        15.10,        15.05,        15.05,                   542400.00,36000, ,        75.10,        14.45
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,       425.55,       425.80,       432.70,       417.00,       422.80,                 27023962.50,63450, ,      2498.60,       400.25
N,SM,KALANA,KALANA ISPAT LIMITED,        42.10,        43.20,        43.20,        41.25,        41.25,                   168900.00,4000, ,        55.00,        32.60
N,SM,KATARIA,KATARIA INDUSTRIES LTD,       115.00,       115.00,       115.00,       114.00,       115.00,                   275400.00,2400, ,       247.00,        90.50
N,SM,KCK,KCK INDUSTRIES LTD,        43.85,        43.85,        45.00,        42.65,        44.35,                 43818750.00,1007500, ,       324.50,        32.90
N,SM,KDL,KORE DIGITAL LIMITED,       323.30,       322.00,       336.45,       317.00,       318.20,                  8157832.50,25200, ,      2856.15,       262.10
N,SM,KEL,KUNDAN EDIFICE LIMITED,       118.00,       121.00,       123.80,       120.30,       123.80,                   727800.00,6000, ,       186.95,        91.00
N,SM,KKJEWELS,KABRA JEWELS LIMITED,       122.85,       125.00,       125.00,       117.00,       120.50,                  3976750.00,33000, ,       265.00,       108.05
N,SM,KKVAPOW,KKV AGRO POWERS LTD.,       605.00,       635.00,       635.00,       635.00,       635.00,                    99060.00,156, ,      1178.00,       484.50
N,SM,KLL,KAUSHALYA LOGISTICS LTD,        77.60,        75.70,        85.50,        75.70,        85.00,                  9665160.00,116800, ,       162.80,        70.00
N,SM,KNAGRI,KN AGRI RESOURCES LIMITED,       218.85,       219.25,       220.95,       216.75,       219.15,                  6681780.00,30400, ,       310.00,       161.00
N,SM,KODYTECH,KODY TECHNOLAB LIMITED,       799.50,       800.00,       839.00,       795.15,       832.70,                 12593125.00,15500, ,      4175.00,       670.00
N,SM,KRISHCA,KRISHCA STRAPPING SLTN L,       275.35,       278.00,       288.00,       276.10,       281.70,                  8450675.00,30000, ,       430.00,       196.05
N,SM,KRISHNADEF,KRISHNA DEF AND ALD IND L,       894.70,       891.05,       902.80,       865.35,       896.35,                 55284700.00,62500, ,      1130.00,       503.00
N,SM,LAKSHYA,LAKSHYA POWERTECH LIMITED,       154.00,       160.00,       161.90,       153.10,       156.55,                  2407720.00,15200, ,       376.95,       146.00
N,SM,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,       148.15,       149.00,       149.05,       148.50,       148.50,                  1936500.00,13000, ,       229.00,       130.00
N,SM,MAITREYA,MAITREYA MEDICARE LIMITED,       280.00,       270.10,       278.00,       270.10,       277.65,                  1751620.00,6400, ,       400.00,       111.00
N,SM,MARCO,MARCO CABLE & CONDUCTOR L,        45.55,        45.00,        45.95,        45.00,        45.80,                   479700.00,10500, ,        83.95,        33.10
N,SM,MARINETRAN,MARINETRANS INDIA LIMITED,        16.55,        16.90,        16.90,        16.50,        16.50,                   133600.00,8000, ,        34.00,        13.80
N,SM,MAXPOSURE,MAXPOSURE LIMITED,        54.20,        53.20,        53.95,        53.10,        53.15,                   266550.00,5000, ,       139.00,        49.60
N,SM,MCON,MCON RASAYAN INDIA LTD,       108.00,       106.05,       106.05,       102.60,       102.60,                  2890050.00,28000, ,       244.35,       101.45
N,SM,MEGAFLEX,MEGA FLEX PLASTICS LTD,        52.50,        52.55,        54.85,        52.55,        53.05,                  1129350.00,21000, ,        75.00,        34.05
N,SM,MEGATHERM,MEGATHERM INDUCTION LTD,       357.45,       364.30,       364.30,       352.20,       361.50,                  6482660.00,18000, ,       490.00,       255.00
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,        58.05,        58.00,        58.90,        57.20,        57.55,                  1393050.00,24000, ,        86.90,        46.00
N,SM,MICROPRO,MICROPRO SOFTWARE SOL L,        23.45,        22.00,        23.95,        22.00,        23.95,                   147440.00,6400, ,        49.40,        18.05
N,SM,MILTON,MILTON INDUSTRIES LIMITED,        30.00,        29.00,        29.00,        29.00,        29.00,                   127600.00,4400, ,        46.80,        26.50
N,SM,MINDPOOL,MINDPOOL TECHNOLOGIES LTD,        56.00,        58.80,        58.80,        58.80,        58.80,                   235200.00,4000, ,        85.00,        49.00
N,SM,MONOPHARMA,MONO PHARMACARE LIMITED,        25.10,        24.50,        24.50,        24.50,        24.50,                    49000.00,2000, ,        41.95,        22.10
N,SM,MOS,MOS UTILITY LIMITED,       252.90,       251.50,       255.80,       250.20,       251.55,                 11690960.00,46400, ,       374.95,       150.00
N,SM,MOXSH,MOXSH OVERSEAS EDUCON LTD,        27.00,        27.05,        28.35,        27.00,        28.35,                   263680.00,9600, ,       210.50,        25.50
